"fa_id","fa_m_id","fa_sm_id","fa_rr_id","fa_insertby","fa_insertdate"
6,2,0,1,admin,2025-05-29 08:05:30.734
7,3,0,1,admin,2025-05-29 08:54:17.564
10,4,0,1,admin,2025-05-29 08:58:53.463
11,4,9,1,admin,2025-05-29 08:58:56.647
12,4,10,1,admin,2025-05-29 08:58:59.051
13,5,0,1,admin,2025-05-29 09:01:42.652
14,5,11,1,admin,2025-05-29 09:01:45.100
17,2,6,1,admin,2025-05-29 09:02:02.599
19,6,0,1,admin,2025-05-29 09:03:19.399
20,6,12,1,admin,2025-05-29 09:03:22.351
24,2,13,1,admin,2025-05-29 11:17:15.252
25,2,3,1,admin,2025-05-29 11:17:17.723
26,2,2,1,admin,2025-05-29 14:29:41.323
27,3,7,1,admin,2025-05-29 14:45:17.797
28,3,8,1,admin,2025-05-29 15:35:39.582
29,2,5,1,admin,2025-06-03 09:10:27.967
30,2,4,1,admin,2025-06-03 09:15:03.965
31,2,4,1,admin,2025-06-03 09:15:06.023
