"fl_id","label","bm","bi","last_update","update_by"
1,Log Out,Log Out,,2025-05-29 07:51:35.208,
2,Superadmin,Superadmin,,2025-05-29 07:51:35.231,
3,Server Info,Server Info,,2025-05-29 07:51:35.231,
4,Switch User,Switch User,,2025-05-29 07:51:35.232,
5,Fw Function,Fw Function,,2025-05-29 07:51:35.233,
6,Template,Template,,2025-05-29 07:51:35.234,
7,HighChart,HighChart,,2025-05-29 07:51:35.235,
8,Local Storage,Local Storage,,2025-05-29 07:51:35.236,
9,Menu,Menu,,2025-05-29 07:51:35.236,
10,Collapse,Collapse,,2025-05-29 07:51:35.239,
11,My Dashboard,My Dashboard,,2025-05-29 07:51:35.239,
12,List of menu,List of menu,,2025-05-29 07:53:42.497,
13,ADD NEW,ADD NEW,,2025-05-29 07:53:42.499,
14,NEW SUBMENU,NEW SUBMENU,,2025-05-29 07:53:42.500,
15,Anda pasti?,Anda pasti?,,2025-05-29 07:53:42.501,
16,Maklumat berjaya disimpan,Maklumat berjaya disimpan,,2025-05-29 07:54:44.754,
17,Maklumat tidak berjaya disimpan,Maklumat tidak berjaya disimpan,,2025-05-29 07:54:44.755,
18,GENERATE CODE,GENERATE CODE,,2025-05-29 07:55:46.917,
19,Maklumat berjaya dikemaskini,Maklumat berjaya dikemaskini,,2025-05-29 07:56:20.528,
20,Maklumat tidak berjaya dikemaskini,Maklumat tidak berjaya dikemaskini,,2025-05-29 07:56:20.529,
21,Tetapan,Tetapan,,2025-05-29 08:04:51.766,
22,Senarai Zon,Senarai Zon,,2025-05-29 08:04:51.768,
23,Jenis Permohonan,Jenis Permohonan,,2025-05-29 08:04:51.768,
24,Senarai Aktiviti,Senarai Aktiviti,,2025-05-29 08:04:51.769,
25,Senarai SDG,Senarai SDG,,2025-05-29 08:04:51.769,
26,Senarai Negeri,Senarai Negeri,,2025-05-29 08:04:51.770,
27,Borang Permohonan,Borang Permohonan,,2025-05-29 08:55:18.091,
28,Permohonan Baharu,Permohonan Baharu,,2025-05-29 08:55:18.093,
29,Senarai Permohonan,Senarai Permohonan,,2025-05-29 08:55:18.093,
30,Penilaian,Penilaian,,2025-05-29 09:01:48.645,
31,Penilaian Program,Penilaian Program,,2025-05-29 09:01:48.647,
32,Senarai Penilaian,Senarai Penilaian,,2025-05-29 09:01:48.648,
33,Laporan,Laporan,,2025-05-29 09:01:48.649,
34,Senarai Laporan,Senarai Laporan,,2025-05-29 09:01:48.650,
35,Pengguna,Pengguna,,2025-05-29 09:03:27.212,
36,Profil Pengguna,Profil Pengguna,,2025-05-29 09:03:27.213,
37,Maklumat berjaya dihapuskan,Maklumat berjaya dihapuskan,,2025-05-29 09:13:16.817,
38,Maklumat tidak berjaya dihapuskan,Maklumat tidak berjaya dihapuskan,,2025-05-29 09:13:16.818,
39,Peranan Pengguna,Peranan Pengguna,,2025-05-29 09:15:13.364,
40,Generate Page,Generate Page,,2025-05-29 09:43:52.683,
41,Class Name,Class Name,,2025-05-29 09:43:52.688,
42,Table,Table,,2025-05-29 09:43:52.688,
43,Field Name (PK = Primary Key),Field Name (PK = Primary Key),,2025-05-29 10:10:11.777,
44,Field Type,Field Type,,2025-05-29 10:10:11.779,
45,Compulsory,Compulsory,,2025-05-29 10:10:11.780,
46,Data Style,Data Style,,2025-05-29 10:10:11.781,
47,Form Style,Form Style,,2025-05-29 10:10:11.782,
48,Senarai Senarai Zon,Senarai Senarai Zon,,2025-05-29 10:11:07.484,
49,Papar,Papar,,2025-05-29 10:11:07.496,
50,dari,dari,,2025-05-29 10:11:07.496,
51,rekod,rekod,,2025-05-29 10:11:07.497,
52,Carian,Carian,,2025-05-29 10:11:07.497,
53,Cari,Cari,,2025-05-29 10:11:07.498,
54,Halaman,Halaman,,2025-05-29 10:11:07.499,
55,Desc,Desc,,2025-05-29 10:11:07.500,
56,Status Ind,Status Ind,,2025-05-29 10:11:07.500,
57,TAMBAH,TAMBAH,,2025-05-29 10:11:07.501,
58,Senarai Peranan Pengguna,Senarai Peranan Pengguna,,2025-05-29 10:50:28.507,
59,Acronym,Acronym,,2025-05-29 10:50:28.510,
60,Description,Description,,2025-05-29 10:50:28.511,
61,Senarai Jenis Permohonan,Senarai Jenis Permohonan,,2025-05-29 11:17:59.738,
62,Senarai Zon Ahli Majlis,Senarai Zon Ahli Majlis,,2025-05-29 14:29:48.953,
63,#,#,,2025-05-29 14:29:48.957,
64,Status,Status,,2025-05-29 14:29:48.958,
65,Please select,Please select,,2025-05-29 14:32:11.418,
66,Statuss,Statuss,,2025-05-29 14:41:51.762,
67,Senarai Permohonan Baharu,Senarai Permohonan Baharu,,2025-05-29 14:48:57.381,
68,Ref No,Ref No,,2025-05-29 14:48:57.383,
69,Mpp Zone,Mpp Zone,,2025-05-29 14:48:57.385,
70,Application Type,Application Type,,2025-05-29 14:48:57.385,
71,File No,File No,,2025-05-29 14:48:57.386,
72,Detail Application,Detail Application,,2025-05-29 14:48:57.387,
73,Request Date,Request Date,,2025-05-29 14:48:57.387,
74,Total,Total,,2025-05-29 14:48:57.388,
75,Activitiy Date,Activitiy Date,,2025-05-29 14:48:57.388,
76,Activity Type,Activity Type,,2025-05-29 14:48:57.389,
77,Sdg Type,Sdg Type,,2025-05-29 14:48:57.391,
78,Detail Activity,Detail Activity,,2025-05-29 14:48:57.391,
79,Permohonan Program Aktiviti Majlis Perwakilan Penduduk (MPP) Shah Alam,Permohonan Program Aktiviti Majlis Perwakilan Penduduk (MPP) Shah Alam,,2025-05-29 15:19:25.714,
80,Senarai Senarai Permohonan,Senarai Senarai Permohonan,,2025-05-29 15:34:34.600,
81,Status Process,Status Process,,2025-05-29 15:34:34.606,
82,No Permohonan,No Permohonan,,2025-05-29 15:39:16.176,
83,MPP Zon,MPP Zon,,2025-05-29 15:39:16.179,
84,No Fail,No Fail,,2025-05-29 15:39:16.180,
85,Tarikh Permohonan,Tarikh Permohonan,,2025-05-29 15:39:16.182,
86,Jumlah RM,Jumlah RM,,2025-05-29 15:39:16.182,
87,Tarikh Aktiviti,Tarikh Aktiviti,,2025-05-29 15:39:16.183,
88,Status Permohonan,Status Permohonan,,2025-05-29 15:39:16.184,
89,Tindakan,Tindakan,,2025-05-29 15:39:16.184,
90,No.Permohonan,No.Permohonan,,2025-05-29 16:38:34.685,
91,MPP Zone : ,MPP Zone : ,,2025-05-29 16:38:34.687,
92,Jenis Permohonan : ,Jenis Permohonan : ,,2025-05-29 16:38:34.688,
93,No Fail :,No Fail :,,2025-05-29 16:38:34.689,
94,Butiran Permohonan : ,Butiran Permohonan : ,,2025-05-29 16:38:34.690,
95,Tarikh Permohonan : ,Tarikh Permohonan : ,,2025-05-29 16:38:34.690,
96,Jumlah RM :,Jumlah RM :,,2025-05-29 16:38:34.691,
97,Tarikh Aktiviti :,Tarikh Aktiviti :,,2025-05-29 16:38:34.691,
98,Jenis Aktiviti : ,Jenis Aktiviti : ,,2025-05-29 16:38:34.692,
99,SDG : ,SDG : ,,2025-05-29 16:38:34.692,
100,Butiran Aktiviti : s,Butiran Aktiviti : s,,2025-05-29 16:38:34.693,
101,Butiran Aktiviti : ,Butiran Aktiviti : ,,2025-05-29 16:52:15.472,
102,No. Permohonan,No. Permohonan,,2025-05-29 16:55:06.320,
103,No. Fail,No. Fail,,2025-05-29 16:55:06.323,
104,Tarikh Activiti,Tarikh Activiti,,2025-05-29 16:55:06.324,
105,Senarai Senarai SDG,Senarai Senarai SDG,,2025-06-03 09:10:37.284,
106,Senarai Senarai Aktiviti,Senarai Senarai Aktiviti,,2025-06-03 09:16:24.847,
107,Gambar Aktiviti : ,Gambar Aktiviti : ,,2025-06-03 09:24:55.794,
108,Borang Permohonan Program Aktiviti Majlis Perwakilan Penduduk (MPP) Shah Alam,Borang Permohonan Program Aktiviti Majlis Perwakilan Penduduk (MPP) Shah Alam,,2025-06-03 09:34:14.522,
109,Maklumat Permohonan,Maklumat Permohonan,,2025-06-03 16:47:41.603,
110,MAKLUMAT PERMOHONAN,MAKLUMAT PERMOHONAN,,2025-06-03 16:51:41.557,
111,MAKLUMAT AKTIVITI,MAKLUMAT AKTIVITI,,2025-06-03 17:07:36.536,
112,Close,Close,,2025-06-04 08:08:06.894,
113,Borang Permohonan Program Aktiviti,Borang Permohonan Program Aktiviti,,2025-06-05 12:07:04.811,
